Rk,Player,Nation,Pos,Squad,90s,Cmp,ShortCmp,MedCmp,LongCmp,xAG,xA,KP,1/3P,PPA,CrsPA,SCA,PrgP,SuccTkon,PrgC,1/3C,CPA,PrgR,TcklW,Int
146,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,18.6,25.5,14.6,8.17,1.94,0.2,0.15,1.45,1.61,0.97,0.43,3.06,2.31,0.75,2.8,2.04,0.59,4.78,1.29,0.54
147,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,7.8,22.8,14.1,7.44,0.38,0.09,0.14,0.9,1.54,0.77,0,2.82,1.79,2.18,2.56,2.05,0.64,4.23,0.51,0.51
148,Emi Buendía,ar ARG,"MF,FW",Aston Villa,1.1,44.5,30,10.9,0.91,0,0,0.91,3.64,0.91,0,2.76,6.36,0,2.73,4.55,0,5.45,5.45,0
149,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,9.5,24.7,11.8,10.9,1.16,0.07,0.06,0.84,2.21,0.74,0.21,2.32,3.05,0.42,1.37,0.95,0,2.42,0.53,0.42
150,Matheus Cunha,br BRA,"MF,FW",Wolves,28.9,28.1,15.9,7.89,3.01,0.27,0.18,1.94,3.18,2.01,0.35,4.57,4.98,2.11,3.88,3.29,1.42,5.57,0.76,0.59
151,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,32.3,34.3,17.1,12.1,4.15,0.26,0.22,1.95,5.17,2.26,0.53,3.71,7.24,1.55,2.26,1.67,0.28,4.24,1.36,0.84
152,Danilo,br BRA,"MF,FW",Nott'ham Forest,3.1,30.3,14.2,12.6,2.26,0,0,0,4.19,0,0,2.31,3.55,0.97,0.65,0,0,0.32,1.29,1.29
153,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,18.9,48,24.3,18.3,4.76,0.42,0.35,3.02,4.66,3.12,0.69,5.97,8.31,0.69,2.7,2.7,1.06,7.94,0.48,0.37
154,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,2.9,43.8,25.9,16.2,1.72,0.38,0.07,1.03,4.14,1.03,0,1.7,4.83,0.69,1.72,0.34,0,3.79,1.72,0.69
155,Amad Diallo,ci CIV,"MF,FW",Manchester Utd,21.1,37.7,23.4,10.8,1.9,0.23,0.2,2.32,1.28,1.66,0.33,4.59,2.84,1.94,5.17,2.51,3.13,9.48,1.47,0.52
156,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,21.8,37.7,21.2,12.8,1.56,0.06,0.07,0.6,3.72,0.5,0.05,1.74,3.81,0.14,0.73,0.64,0.09,1.51,2.06,1.33
157,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,1.3,13.1,8.46,3.08,0.77,0,0,0.77,1.54,0,0,0.78,3.08,0,1.54,0.77,1.54,5.38,0,0
158,Julio Enciso,py PAR,"MF,FW",Ipswich Town,9.7,17.6,8.14,7.42,1.03,0.14,0.11,1.34,1.86,0.82,0.1,3,2.89,3.09,2.37,2.58,0.93,4.54,0.93,0.1
